subject,batch,context,mat_verb,wh,emb_verb,resp
7987,blue,mst,predict,where,find,1
8587,blue,mst,predict,where,find,1
8593,blue,mst,predict,where,find,1
9541,blue,mst,predict,where,find,1
8602,blue,mst,predict,where,find,1
9421,blue,mst,predict,where,find,1
9634,blue,mst,predict,where,find,1
8140,blue,mst,predict,where,find,0
9313,blue,mst,predict,where,find,1
8608,blue,mst,predict,where,find,1
7948,blue,mst,predict,where,find,1
9682,blue,mst,predict,where,find,1
9631,blue,mst,predict,where,find,1
7990,blue,mst,predict,where,find,0
9847,blue,mst,predict,where,find,1
8515,blue,mst,predict,where,find,1
9712,blue,mst,predict,where,find,1
7009,blue,mst,predict,where,find,0
7408,blue,mst,predict,where,find,0
9493,blue,mst,predict,where,find,1
7846,blue,mst,predict,where,find,1
9511,blue,mst,predict,where,find,1
9157,blue,mst,predict,where,find,1
9610,blue,mst,predict,where,find,1
9661,blue,mst,predict,where,find,1
8167,blue,mst,predict,where,find,1
7678,blue,mst,predict,where,find,1
7987,blue,mst,predict,who,recruit,1
8587,blue,mst,predict,who,recruit,1
8593,blue,mst,predict,who,recruit,1
9541,blue,mst,predict,who,recruit,1
8602,blue,mst,predict,who,recruit,1
9421,blue,mst,predict,who,recruit,1
9634,blue,mst,predict,who,recruit,0
8140,blue,mst,predict,who,recruit,0
9313,blue,mst,predict,who,recruit,1
8608,blue,mst,predict,who,recruit,1
7948,blue,mst,predict,who,recruit,0
9682,blue,mst,predict,who,recruit,1
9631,blue,mst,predict,who,recruit,1
7990,blue,mst,predict,who,recruit,1
9847,blue,mst,predict,who,recruit,1
8515,blue,mst,predict,who,recruit,1
9712,blue,mst,predict,who,recruit,1
7009,blue,mst,predict,who,recruit,0
7408,blue,mst,predict,who,recruit,1
9493,blue,mst,predict,who,recruit,1
7846,blue,mst,predict,who,recruit,1
9511,blue,mst,predict,who,recruit,1
9157,blue,mst,predict,who,recruit,1
9610,blue,mst,predict,who,recruit,1
9661,blue,mst,predict,who,recruit,1
8167,blue,mst,predict,who,recruit,1
7678,blue,mst,predict,who,recruit,1
7987,blue,mst,predict,where,hide,1
8587,blue,mst,predict,where,hide,1
8593,blue,mst,predict,where,hide,1
9541,blue,mst,predict,where,hide,1
8602,blue,mst,predict,where,hide,1
9421,blue,mst,predict,where,hide,1
9634,blue,mst,predict,where,hide,1
8140,blue,mst,predict,where,hide,1
9313,blue,mst,predict,where,hide,0
8608,blue,mst,predict,where,hide,1
7948,blue,mst,predict,where,hide,1
9682,blue,mst,predict,where,hide,1
9631,blue,mst,predict,where,hide,1
7990,blue,mst,predict,where,hide,1
9847,blue,mst,predict,where,hide,1
8515,blue,mst,predict,where,hide,1
9712,blue,mst,predict,where,hide,1
7009,blue,mst,predict,where,hide,1
7408,blue,mst,predict,where,hide,1
9493,blue,mst,predict,where,hide,1
7846,blue,mst,predict,where,hide,1
9511,blue,mst,predict,where,hide,1
9157,blue,mst,predict,where,hide,1
9610,blue,mst,predict,where,hide,1
9661,blue,mst,predict,where,hide,0
8167,blue,mst,predict,where,hide,1
7678,blue,mst,predict,where,hide,0
7987,blue,mst,predict,who,call,1
8587,blue,mst,predict,who,call,1
8593,blue,mst,predict,who,call,1
9541,blue,mst,predict,who,call,1
8602,blue,mst,predict,who,call,1
9421,blue,mst,predict,who,call,1
9634,blue,mst,predict,who,call,1
8140,blue,mst,predict,who,call,0
9313,blue,mst,predict,who,call,1
8608,blue,mst,predict,who,call,1
7948,blue,mst,predict,who,call,1
9682,blue,mst,predict,who,call,1
9631,blue,mst,predict,who,call,1
7990,blue,mst,predict,who,call,1
9847,blue,mst,predict,who,call,0
8515,blue,mst,predict,who,call,1
9712,blue,mst,predict,who,call,0
7009,blue,mst,predict,who,call,1
7408,blue,mst,predict,who,call,1
9493,blue,mst,predict,who,call,1
7846,blue,mst,predict,who,call,1
9511,blue,mst,predict,who,call,1
9157,blue,mst,predict,who,call,1
9610,blue,mst,predict,who,call,1
9661,blue,mst,predict,who,call,1
8167,blue,mst,predict,who,call,1
7678,blue,mst,predict,who,call,0
7987,blue,mat,predict,where,view,1
8587,blue,mat,predict,where,view,1
8593,blue,mat,predict,where,view,1
9541,blue,mat,predict,where,view,1
8602,blue,mat,predict,where,view,1
9421,blue,mat,predict,where,view,1
9634,blue,mat,predict,where,view,1
8140,blue,mat,predict,where,view,1
9313,blue,mat,predict,where,view,0
8608,blue,mat,predict,where,view,1
7948,blue,mat,predict,where,view,1
9682,blue,mat,predict,where,view,1
9631,blue,mat,predict,where,view,1
7990,blue,mat,predict,where,view,1
9847,blue,mat,predict,where,view,1
