subject,native_lang,MATF-predict-where-find,MATF-predict-who-recruit,MATF-predict-where-hide,MATF-predict-who-call,MST-predict-where-view,MST-predict-where-bury,MST-predict-who-interview,MST-predict-who-hire,MAT-predict-where-store,MAT-predict-where-sell,MAT-predict-who-invite,MAT-predict-who-select,MAF-predict-where-locate,MAF-predict-where-display,MAF-predict-who-ask,MAF-predict-who-contact,MATF-k0w-where-locate,MATF-k0w-where-display,MATF-k0w-who-ask,MATF-k0w-who-contact,MST-k0w-where-find,MST-k0w-where-hide,MST-k0w-who-recruit,MST-k0w-who-call,MAT-k0w-where-view,MAT-k0w-where-bury,MAT-k0w-who-interview,MAT-k0w-who-hire,MAF-k0w-where-store,MAF-k0w-where-sell,MAF-k0w-who-invite,MAF-k0w-who-select
11410,EN,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
10495,EN,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
10327,EN,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
10762,EN,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
11101,EN,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
11299,EN,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0
11821,EN,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,1,0,0,0,0
11290,EN,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
11254,EN,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0
11491,EN,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0
10942,EN,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
11284,EN,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0
11479,EN,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
12001,EN,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0
10567,EN,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1
11593,EN,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0
11893,EN,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
10387,EN,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0
11887,EN,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
11839,EN,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0
11326,EN,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0
10030,NO,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
10486,EN,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0
10984,EN,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
11437,EN,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1
10576,EN,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
