l1,subject,list,context,mat_verb,wh,emb_verb,response
,5704,red,maf,know,where,store,0
,5704,red,maf,know,where,sell,1
,6487,green,maf,know,where,find,0
,6487,green,maf,know,where,hide,1
,6601,red,maf,know,where,store,0
,6601,red,maf,know,where,sell,0
,6985,green,maf,know,where,find,0
,6985,green,maf,know,where,hide,0
,7009,blue,maf,know,where,locate,0
,7009,blue,maf,know,where,display,0
,7042,red,maf,know,where,store,0
,7042,red,maf,know,where,sell,0
,7099,red,maf,know,where,store,0
,7099,red,maf,know,where,sell,0
,7351,red,maf,know,where,store,0
,7351,red,maf,know,where,sell,0
,7378,red,maf,know,where,store,0
,7378,red,maf,know,where,sell,0
,7387,green,maf,know,where,find,0
,7387,green,maf,know,where,hide,0
,7408,blue,maf,know,where,locate,0
,7408,blue,maf,know,where,display,0
,7543,green,maf,know,where,find,1
,7543,green,maf,know,where,hide,0
,7564,red,maf,know,where,store,0
,7564,red,maf,know,where,sell,0
,7645,red,maf,know,where,store,0
,7645,red,maf,know,where,sell,1
,7648,red,maf,know,where,store,0
,7648,red,maf,know,where,sell,0
,7678,blue,maf,know,where,locate,1
,7678,blue,maf,know,where,display,0
,7750,green,maf,know,where,find,0
,7750,green,maf,know,where,hide,0
,7846,blue,maf,know,where,locate,0
,7846,blue,maf,know,where,display,0
,7906,green,maf,know,where,find,0
,7906,green,maf,know,where,hide,0
,7948,blue,maf,know,where,locate,0
,7948,blue,maf,know,where,display,0
,7966,green,maf,know,where,find,0
,7966,green,maf,know,where,hide,1
,7987,blue,maf,know,where,locate,0
,7987,blue,maf,know,where,display,0
,7990,blue,maf,know,where,locate,0
,7990,blue,maf,know,where,display,0
,8140,blue,maf,know,where,locate,0
,8140,blue,maf,know,where,display,0
,8167,blue,maf,know,where,locate,0
,8167,blue,maf,know,where,display,0
,8428,green,maf,know,where,find,0
,8428,green,maf,know,where,hide,0
,8515,blue,maf,know,where,locate,0
,8515,blue,maf,know,where,display,0
,8563,green,maf,know,where,find,0
,8563,green,maf,know,where,hide,0
,8587,blue,maf,know,where,locate,0
,8587,blue,maf,know,where,display,0
,8593,blue,maf,know,where,locate,1
,8593,blue,maf,know,where,display,1
,8602,blue,maf,know,where,locate,0
,8602,blue,maf,know,where,display,0
,8605,green,maf,know,where,find,0
,8605,green,maf,know,where,hide,0
,8608,blue,maf,know,where,locate,0
,8608,blue,maf,know,where,display,0
,8650,green,maf,know,where,find,0
,8650,green,maf,know,where,hide,0
,8653,green,maf,know,where,find,0
,8653,green,maf,know,where,hide,0
,8719,green,maf,know,where,find,0
,8719,green,maf,know,where,hide,0
,8749,green,maf,know,where,find,0
,8749,green,maf,know,where,hide,0
,8767,red,maf,know,where,store,0
,8767,red,maf,know,where,sell,0
,8779,green,maf,know,where,find,0
,8779,green,maf,know,where,hide,0
,8968,red,maf,know,where,store,0
,8968,red,maf,know,where,sell,0
,9055,green,maf,know,where,find,0
,9055,green,maf,know,where,hide,0
,9157,blue,maf,know,where,locate,0
,9157,blue,maf,know,where,display,0
,9313,blue,maf,know,where,locate,0
,9313,blue,maf,know,where,display,0
,9325,red,maf,know,where,store,0
,9325,red,maf,know,where,sell,0
,9421,blue,maf,know,where,locate,0
,9421,blue,maf,know,where,display,1
,9430,green,maf,know,where,find,0
,9430,green,maf,know,where,hide,0
,9490,red,maf,know,where,store,0
,9490,red,maf,know,where,sell,0
,9493,blue,maf,know,where,locate,0
,9493,blue,maf,know,where,display,0
,9502,red,maf,know,where,store,0
,9502,red,maf,know,where,sell,0
,9511,blue,maf,know,where,locate,0
,9511,blue,maf,know,where,display,1
,9541,blue,maf,know,where,locate,0
,9541,blue,maf,know,where,display,0
,9610,blue,maf,know,where,locate,0
,9610,blue,maf,know,where,display,1
,9631,blue,maf,know,where,locate,0
,9631,blue,maf,know,where,display,0
,9634,blue,maf,know,where,locate,0
,9634,blue,maf,know,where,display,0
,9643,green,maf,know,where,find,0
,9643,green,maf,know,where,hide,0
,9655,green,maf,know,where,find,1
,9655,green,maf,know,where,hide,0
,9661,blue,maf,know,where,locate,0
,9661,blue,maf,know,where,display,0
,9676,green,maf,know,where,find,0
,9676,green,maf,know,where,hide,0
,9682,blue,maf,know,where,locate,0
,9682,blue,maf,know,where,display,0
,9703,green,maf,know,where,find,0
,9703,green,maf,know,where,hide,0
,9712,blue,maf,know,where,locate,0
,9712,blue,maf,know,where,display,0
,9715,red,maf,know,where,store,0
,9715,red,maf,know,where,sell,0
,9814,green,maf,know,where,find,0
,9814,green,maf,know,where,hide,0
,9847,blue,maf,know,where,locate,0
,9847,blue,maf,know,where,display,0
,9848,red,maf,know,where,store,0
,9848,red,maf,know,where,sell,0
,9871,green,maf,know,where,find,0
,9871,green,maf,know,where,hide,0
,9982,red,maf,know,where,store,0
,9982,red,maf,know,where,sell,0
,5704,red,mat,know,where,view,1
,5704,red,mat,know,where,bury,1
,6487,green,mat,know,where,locate,1
,6487,green,mat,know,where,display,1
,6601,red,mat,know,where,view,1
,6601,red,mat,know,where,bury,1
,6985,green,mat,know,where,locate,1
,6985,green,mat,know,where,display,1
,7009,blue,mat,know,where,store,1
,7009,blue,mat,know,where,sell,1
,7042,red,mat,know,where,view,1
,7042,red,mat,know,where,bury,1
,7099,red,mat,know,where,view,1
,7099,red,mat,know,where,bury,1
,7351,red,mat,know,where,view,1
,7351,red,mat,know,where,bury,1
,7378,red,mat,know,where,view,1
,7378,red,mat,know,where,bury,1
,7387,green,mat,know,where,locate,1
,7408,blue,mat,know,where,store,1
,7408,blue,mat,know,where,sell,1
,7543,green,mat,know,where,locate,1
,7543,green,mat,know,where,display,1
,7564,red,mat,know,where,view,1
,7564,red,mat,know,where,bury,1
,7645,red,mat,know,where,view,1
,7645,red,mat,know,where,bury,0
,7648,red,mat,know,where,view,1
,7648,red,mat,know,where,bury,1
,7678,blue,mat,know,where,store,1
,7678,blue,mat,know,where,sell,1
,7750,green,mat,know,where,locate,1
,7750,green,mat,know,where,display,1
,7846,blue,mat,know,where,store,1
