subject,native_lang,context,mat_verb,wh,emb_verb,list,tense,response
8587,EN,MST,predict,where,find,blue,nonfinite,1
9541,EN,MST,predict,where,find,blue,nonfinite,1
8602,EN,MST,predict,where,find,blue,nonfinite,1
9421,EN,MST,predict,where,find,blue,nonfinite,1
9634,EN,MST,predict,where,find,blue,nonfinite,1
8140,EN,MST,predict,where,find,blue,nonfinite,0
9313,EN,MST,predict,where,find,blue,nonfinite,1
8608,EN,MST,predict,where,find,blue,nonfinite,1
7948,EN,MST,predict,where,find,blue,nonfinite,1
9682,EN,MST,predict,where,find,blue,nonfinite,1
9631,EN,MST,predict,where,find,blue,nonfinite,1
7990,EN,MST,predict,where,find,blue,nonfinite,0
9847,EN,MST,predict,where,find,blue,nonfinite,1
8515,EN,MST,predict,where,find,blue,nonfinite,1
9712,EN,MST,predict,where,find,blue,nonfinite,1
7009,EN,MST,predict,where,find,blue,nonfinite,0
7408,EN,MST,predict,where,find,blue,nonfinite,0
9493,EN,MST,predict,where,find,blue,nonfinite,1
7846,EN,MST,predict,where,find,blue,nonfinite,1
9511,EN,MST,predict,where,find,blue,nonfinite,1
9157,EN,MST,predict,where,find,blue,nonfinite,1
9610,EN,MST,predict,where,find,blue,nonfinite,1
9661,EN,MST,predict,where,find,blue,nonfinite,1
8167,EN,MST,predict,where,find,blue,nonfinite,1
7678,EN,MST,predict,where,find,blue,nonfinite,1
11344,EN,MST,predict,where,find,blue,nonfinite,0
10813,EN,MST,predict,where,find,blue,nonfinite,1
10021,EN,MST,predict,where,find,blue,nonfinite,0
10771,EN,MST,predict,where,find,blue,nonfinite,1
10729,EN,MST,predict,where,find,blue,nonfinite,1
10897,EN,MST,predict,where,find,blue,nonfinite,1
8587,EN,MST,predict,who,recruit,blue,nonfinite,1
9541,EN,MST,predict,who,recruit,blue,nonfinite,1
8602,EN,MST,predict,who,recruit,blue,nonfinite,1
9421,EN,MST,predict,who,recruit,blue,nonfinite,1
9634,EN,MST,predict,who,recruit,blue,nonfinite,0
8140,EN,MST,predict,who,recruit,blue,nonfinite,0
9313,EN,MST,predict,who,recruit,blue,nonfinite,1
8608,EN,MST,predict,who,recruit,blue,nonfinite,1
7948,EN,MST,predict,who,recruit,blue,nonfinite,0
9682,EN,MST,predict,who,recruit,blue,nonfinite,1
9631,EN,MST,predict,who,recruit,blue,nonfinite,1
7990,EN,MST,predict,who,recruit,blue,nonfinite,1
9847,EN,MST,predict,who,recruit,blue,nonfinite,1
8515,EN,MST,predict,who,recruit,blue,nonfinite,1
9712,EN,MST,predict,who,recruit,blue,nonfinite,1
7009,EN,MST,predict,who,recruit,blue,nonfinite,0
