subject		verb	wh	age1	response
68.181.206.25		know	who	27	0
68.181.206.25		know	who	27	0
166.170.28.46		know	who	32	0
166.170.28.46		know	who	32	0
65.112.10.174		know	who	24	0
65.112.10.174		know	who	24	0
150.108.216.96		know	who	30	1
150.108.216.96		know	who	30	1
24.185.2.85		know	who	31	1
24.185.2.85		know	who	31	1
71.126.138.173		know	who	67	0
71.126.138.173		know	who	67	0
71.66.228.164		know	who	27	0
71.66.228.164		know	who	27	0
50.153.246.193		know	who	28	0
50.153.246.193		know	who	28	0
47.20.0.183		know	who	26	0
47.20.0.183		know	who	26	1
77.101.65.83		know	who	38	0
77.101.65.83		know	who	38	0
173.63.44.8		know	who	26	1
173.63.44.8		know	who	26	1
172.58.137.226		know	who	60+	0
172.58.137.226		know	who	60+	0
73.72.139.14		know	who	61	0
73.72.139.14		know	who	61	1
73.134.84.161		know	who	23	0
73.134.84.161		know	who	23	0
165.230.224.64		know	who	30	0
165.230.224.64		know	who	30	1
76.167.240.24		know	who	26	0
76.167.240.24		know	who	26	1
98.25.196.90		know	who	24	0
98.25.196.90		know	who	24	0
108.237.150.35		know	who	30	0
108.237.150.35		know	who	30	0
172.56.16.204		know	who	28	0
172.56.16.204		know	who	28	1
164.67.237.91		know	who	25	0
164.67.237.91		know	who	25	1
173.79.59.181		know	who	28	0
173.79.59.181		know	who	28	0
73.242.55.235		know	who	55	0
73.242.55.235		know	who	55	0
147.222.216.116		know	who	18	1
147.222.216.116		know	who	18	1
12.167.141.60		know	who	58	1
12.167.141.60		know	who	58	1
136.160.90.3		know	who	30	1
136.160.90.3		know	who	30	1
67.84.43.204		know	who	30	0
67.84.43.204		know	who	30	0
50.32.254.161		know	who	75	0
50.32.254.161		know	who	75	0
167.219.88.140		know	who	74	0
167.219.88.140		know	who	74	1
68.170.94.47		know	who	26	0
68.170.94.47		know	who	26	0
162.239.1.6		know	who	28	1
162.239.1.6		know	who	28	0
73.182.225.53		know	who	35	0
73.182.225.53		know	who	35	0
192.231.177.29		know	who	27	0
192.231.177.29		know	who	27	0
73.200.22.97		know	who	75	0
73.200.22.97		know	who	75	0
108.53.051.141	5353	know	who	19	0
165.030.004.105	5600	know	who	19	1
165.030.004.90	6860	know	who	over 24	1
70.190.71.170	6886	know	who	20	0
165.030.004.000	6895	know	who	22-24	1
70.80.109.003	5914	know	who	22-24	1
190.150.043.015	6110	know	who	20	0
67.86.050.170	6163	know	who	22-24	1
67.86.050.170	6109	know	who	20	1
165.030.005.006	6877	know	who	19	1
04.186.119.108	6745	know	who	22-24	0
71.170.41.196	6883	know	who	18	0
69.106.040.158	5767	know	who	19	1
165.030.004.036	6889	know	who	22-24	0
69.141.140.013	6874	know	who	20	1
165.030.004.57	6697	know	who	20	1
165.030.004.66	6397	know	who	22-24	1
98.001.64.175	6740	know	who	18	0
165.030.005.99	1640	know	who	20	0
173.0.107.89	6901	know	who	over 24	0
108.53.051.141	5353	know	who	19	0
165.030.004.105	5600	know	who	19	1
165.030.004.90	6860	know	who	over 24	0
70.190.71.170	6886	know	who	20	1
165.030.004.000	6895	know	who	22-24	1
70.80.109.003	5914	know	who	22-24	1
190.150.043.015	6110	know	who	20	1
67.86.050.170	6163	know	who	22-24	1
67.86.050.170	6109	know	who	20	1
165.030.005.006	6877	know	who	19	1
04.186.119.108	6745	know	who	22-24	0
71.170.41.196	6883	know	who	18	1
69.106.040.158	5767	know	who	19	1
165.030.004.036	6889	know	who	22-24	0
69.141.140.013	6874	know	who	20	0
165.030.004.57	6697	know	who	20	1
165.030.004.66	6397	know	who	22-24	1
98.001.64.175	6740	know	who	18	1
165.030.005.99	1640	know	who	20	1
173.0.107.89	6901	know	who	over 24	1
