subject,native_lang,MST-predict-where-find,MST-predict-who-recruit,MST-predict-where-hide,MST-predict-who-call,MAT-predict-where-view,MAT-predict-where-bury,MAT-predict-who-interview,MAT-predict-who-hire,MAF-predict-where-store,MAF-predict-where-sell,MAF-predict-who-invite,MAF-predict-who-select,MATF-predict-where-locate,MATF-predict-where-display,MATF-predict-who-ask,MATF-predict-who-contact,MAF-k0w-where-locate,MAF-k0w-where-display,MAF-k0w-who-ask,MAF-k0w-who-contact,MATF-k0w-where-find,MATF-k0w-where-hide,MATF-k0w-who-recruit,MATF-k0w-who-call,MST-k0w-where-view,MST-k0w-where-bury,MST-k0w-who-interview,MST-k0w-who-hire,MAT-k0w-where-store,MAT-k0w-where-sell,MAT-k0w-who-invite,MAT-k0w-who-select
7987,NO,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
8587,EN,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
8593,NO,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
9541,EN,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
8602,EN,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
9421,EN,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1
9634,EN,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1
8140,EN,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
9313,EN,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1
8608,EN,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
7948,EN,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1
9682,EN,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
9631,EN,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0
7990,EN,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1
9847,EN,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1
8515,EN,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
