subject,batch,context,mat_verb,wh,emb_verb,resp
7387,green,mat,predict,where,find,1
7750,green,mat,predict,where,find,1
9814,green,mat,predict,where,find,1
8605,green,mat,predict,where,find,1
9430,green,mat,predict,where,find,1
6487,green,mat,predict,where,find,1
9055,green,mat,predict,where,find,1
8650,green,mat,predict,where,find,1
7543,green,mat,predict,where,find,1
9643,green,mat,predict,where,find,1
8719,green,mat,predict,where,find,1
9871,green,mat,predict,where,find,1
8563,green,mat,predict,where,find,1
6985,green,mat,predict,where,find,1
9655,green,mat,predict,where,find,1
9676,green,mat,predict,where,find,1
8653,green,mat,predict,where,find,1
8779,green,mat,predict,where,find,1
8428,green,mat,predict,where,find,1
8749,green,mat,predict,where,find,1
7906,green,mat,predict,where,find,1
9703,green,mat,predict,where,find,1
7966,green,mat,predict,where,find,1
7387,green,mat,predict,who,recruit,1
7750,green,mat,predict,who,recruit,1
9814,green,mat,predict,who,recruit,1
8605,green,mat,predict,who,recruit,1
9430,green,mat,predict,who,recruit,1
6487,green,mat,predict,who,recruit,1
9055,green,mat,predict,who,recruit,1
8650,green,mat,predict,who,recruit,1
7543,green,mat,predict,who,recruit,1
9643,green,mat,predict,who,recruit,1
8719,green,mat,predict,who,recruit,1
9871,green,mat,predict,who,recruit,1
8563,green,mat,predict,who,recruit,1
6985,green,mat,predict,who,recruit,1
9655,green,mat,predict,who,recruit,1
9676,green,mat,predict,who,recruit,1
8653,green,mat,predict,who,recruit,1
8779,green,mat,predict,who,recruit,1
8428,green,mat,predict,who,recruit,1
8749,green,mat,predict,who,recruit,1
7906,green,mat,predict,who,recruit,1
9703,green,mat,predict,who,recruit,1
7966,green,mat,predict,who,recruit,1
7387,green,mat,predict,where,hide,1
7750,green,mat,predict,where,hide,1
9814,green,mat,predict,where,hide,0
8605,green,mat,predict,where,hide,1
9430,green,mat,predict,where,hide,1
6487,green,mat,predict,where,hide,1
9055,green,mat,predict,where,hide,1
8650,green,mat,predict,where,hide,0
7543,green,mat,predict,where,hide,1
9643,green,mat,predict,where,hide,1
8719,green,mat,predict,where,hide,1
9871,green,mat,predict,where,hide,1
8563,green,mat,predict,where,hide,1
6985,green,mat,predict,where,hide,1
9655,green,mat,predict,where,hide,0
9676,green,mat,predict,where,hide,1
8653,green,mat,predict,where,hide,1
8779,green,mat,predict,where,hide,1
8428,green,mat,predict,where,hide,1
8749,green,mat,predict,where,hide,0
7906,green,mat,predict,where,hide,1
9703,green,mat,predict,where,hide,1
7966,green,mat,predict,where,hide,1
7387,green,mat,predict,who,call,1
7750,green,mat,predict,who,call,1
9814,green,mat,predict,who,call,1
8605,green,mat,predict,who,call,0
9430,green,mat,predict,who,call,0
6487,green,mat,predict,who,call,1
9055,green,mat,predict,who,call,0
8650,green,mat,predict,who,call,1
7543,green,mat,predict,who,call,1
9643,green,mat,predict,who,call,1
8719,green,mat,predict,who,call,1
9871,green,mat,predict,who,call,0
8563,green,mat,predict,who,call,1
6985,green,mat,predict,who,call,0
9655,green,mat,predict,who,call,1
9676,green,mat,predict,who,call,0
8653,green,mat,predict,who,call,1
8779,green,mat,predict,who,call,1
8428,green,mat,predict,who,call,1
8749,green,mat,predict,who,call,1
7906,green,mat,predict,who,call,1
9703,green,mat,predict,who,call,0
7966,green,mat,predict,who,call,0
7387,green,maf,predict,where,view,0
7750,green,maf,predict,where,view,0
9814,green,maf,predict,where,view,0
8605,green,maf,predict,where,view,0
9430,green,maf,predict,where,view,0
6487,green,maf,predict,where,view,0
9055,green,maf,predict,where,view,0
8650,green,maf,predict,where,view,0
7543,green,maf,predict,where,view,1
9643,green,maf,predict,where,view,0
8719,green,maf,predict,where,view,0
9871,green,maf,predict,where,view,0
8563,green,maf,predict,where,view,0
6985,green,maf,predict,where,view,0
9655,green,maf,predict,where,view,0
9676,green,maf,predict,where,view,1
8653,green,maf,predict,where,view,1
8779,green,maf,predict,where,view,0
8428,green,maf,predict,where,view,0
8749,green,maf,predict,where,view,0
7906,green,maf,predict,where,view,0
9703,green,maf,predict,where,view,0
7966,green,maf,predict,where,view,1
7387,green,maf,predict,where,bury,0
7750,green,maf,predict,where,bury,1
9814,green,maf,predict,where,bury,1
8605,green,maf,predict,where,bury,0
9430,green,maf,predict,where,bury,0
6487,green,maf,predict,where,bury,0
9055,green,maf,predict,where,bury,0
8650,green,maf,predict,where,bury,0
7543,green,maf,predict,where,bury,0
9643,green,maf,predict,where,bury,0
8719,green,maf,predict,where,bury,0
9871,green,maf,predict,where,bury,0
8563,green,maf,predict,where,bury,0
6985,green,maf,predict,where,bury,0
9655,green,maf,predict,where,bury,0
9676,green,maf,predict,where,bury,0
8653,green,maf,predict,where,bury,1
8779,green,maf,predict,where,bury,0
8428,green,maf,predict,where,bury,0
8749,green,maf,predict,where,bury,0
7906,green,maf,predict,where,bury,0
9703,green,maf,predict,where,bury,0
7966,green,maf,predict,where,bury,1
7387,green,maf,predict,who,interview,1
7750,green,maf,predict,who,interview,0
9814,green,maf,predict,who,interview,1
8605,green,maf,predict,who,interview,0
9430,green,maf,predict,who,interview,0
6487,green,maf,predict,who,interview,0
9055,green,maf,predict,who,interview,0
8650,green,maf,predict,who,interview,0
7543,green,maf,predict,who,interview,1
9643,green,maf,predict,who,interview,0
8719,green,maf,predict,who,interview,0
9871,green,maf,predict,who,interview,0
8563,green,maf,predict,who,interview,0
6985,green,maf,predict,who,interview,1
9655,green,maf,predict,who,interview,0
9676,green,maf,predict,who,interview,0
8653,green,maf,predict,who,interview,1
8779,green,maf,predict,who,interview,0
8428,green,maf,predict,who,interview,1
8749,green,maf,predict,who,interview,0
7906,green,maf,predict,who,interview,1
9703,green,maf,predict,who,interview,0
7966,green,maf,predict,who,interview,1
7387,green,maf,predict,who,hire,0
7750,green,maf,predict,who,hire,0
9814,green,maf,predict,who,hire,0
8605,green,maf,predict,who,hire,0
9430,green,maf,predict,who,hire,0
6487,green,maf,predict,who,hire,1
9055,green,maf,predict,who,hire,0
8650,green,maf,predict,who,hire,0
7543,green,maf,predict,who,hire,1
9643,green,maf,predict,who,hire,0
8719,green,maf,predict,who,hire,0
9871,green,maf,predict,who,hire,0
8563,green,maf,predict,who,hire,0
6985,green,maf,predict,who,hire,0
9655,green,maf,predict,who,hire,0
9676,green,maf,predict,who,hire,0
8653,green,maf,predict,who,hire,1
8779,green,maf,predict,who,hire,1
8428,green,maf,predict,who,hire,0
8749,green,maf,predict,who,hire,0
7906,green,maf,predict,who,hire,0
9703,green,maf,predict,who,hire,0
7966,green,maf,predict,who,hire,1
7387,green,matf,predict,where,store,1
7750,green,matf,predict,where,store,0
9814,green,matf,predict,where,store,1
8605,green,matf,predict,where,store,1
9430,green,matf,predict,where,store,1
6487,green,matf,predict,where,store,0
9055,green,matf,predict,where,store,0
8650,green,matf,predict,where,store,1
7543,green,matf,predict,where,store,1
9643,green,matf,predict,where,store,0
8719,green,matf,predict,where,store,0
9871,green,matf,predict,where,store,0
8563,green,matf,predict,where,store,1
6985,green,matf,predict,where,store,1
9655,green,matf,predict,where,store,1
9676,green,matf,predict,where,store,1
8653,green,matf,predict,where,store,1
8779,green,matf,predict,where,store,0
8428,green,matf,predict,where,store,1
8749,green,matf,predict,where,store,0
7906,green,matf,predict,where,store,0
9703,green,matf,predict,where,store,0
7966,green,matf,predict,where,store,1
7387,green,matf,predict,where,sell,1
7750,green,matf,predict,where,sell,0
9814,green,matf,predict,where,sell,1
8605,green,matf,predict,where,sell,0
9430,green,matf,predict,where,sell,0
6487,green,matf,predict,where,sell,1
9055,green,matf,predict,where,sell,0
8650,green,matf,predict,where,sell,1
7543,green,matf,predict,where,sell,0
9643,green,matf,predict,where,sell,0
8719,green,matf,predict,where,sell,1
9871,green,matf,predict,where,sell,0
8563,green,matf,predict,where,sell,1
6985,green,matf,predict,where,sell,1
9655,green,matf,predict,where,sell,0
9676,green,matf,predict,where,sell,1
8653,green,matf,predict,where,sell,1
8779,green,matf,predict,where,sell,0
8428,green,matf,predict,where,sell,0
8749,green,matf,predict,where,sell,1
7906,green,matf,predict,where,sell,1
9703,green,matf,predict,where,sell,1
7966,green,matf,predict,where,sell,1
7387,green,matf,predict,who,invite,1
7750,green,matf,predict,who,invite,0
9814,green,matf,predict,who,invite,1
8605,green,matf,predict,who,invite,0
9430,green,matf,predict,who,invite,0
6487,green,matf,predict,who,invite,0
9055,green,matf,predict,who,invite,0
8650,green,matf,predict,who,invite,0
7543,green,matf,predict,who,invite,1
9643,green,matf,predict,who,invite,0
8719,green,matf,predict,who,invite,0
9871,green,matf,predict,who,invite,0
8563,green,matf,predict,who,invite,0
6985,green,matf,predict,who,invite,1
9655,green,matf,predict,who,invite,0
9676,green,matf,predict,who,invite,1
8653,green,matf,predict,who,invite,1
8779,green,matf,predict,who,invite,0
8428,green,matf,predict,who,invite,0
8749,green,matf,predict,who,invite,0
7906,green,matf,predict,who,invite,0
9703,green,matf,predict,who,invite,0
7966,green,matf,predict,who,invite,1
7387,green,matf,predict,who,select,1
7750,green,matf,predict,who,select,0
9814,green,matf,predict,who,select,1
8605,green,matf,predict,who,select,0
9430,green,matf,predict,who,select,0
6487,green,matf,predict,who,select,0
9055,green,matf,predict,who,select,0
8650,green,matf,predict,who,select,0
7543,green,matf,predict,who,select,0
9643,green,matf,predict,who,select,0
8719,green,matf,predict,who,select,0
9871,green,matf,predict,who,select,0
8563,green,matf,predict,who,select,1
6985,green,matf,predict,who,select,0
9655,green,matf,predict,who,select,0
9676,green,matf,predict,who,select,1
8653,green,matf,predict,who,select,1
8779,green,matf,predict,who,select,0
8428,green,matf,predict,who,select,1
8749,green,matf,predict,who,select,0
7906,green,matf,predict,who,select,0
9703,green,matf,predict,who,select,0
7966,green,matf,predict,who,select,1
7387,green,mst,predict,where,locate,1
7750,green,mst,predict,where,locate,0
9814,green,mst,predict,where,locate,1
8605,green,mst,predict,where,locate,1
9430,green,mst,predict,where,locate,1
6487,green,mst,predict,where,locate,1
9055,green,mst,predict,where,locate,1
8650,green,mst,predict,where,locate,0
7543,green,mst,predict,where,locate,1
9643,green,mst,predict,where,locate,1
8719,green,mst,predict,where,locate,1
9871,green,mst,predict,where,locate,0
8563,green,mst,predict,where,locate,1
6985,green,mst,predict,where,locate,1
9655,green,mst,predict,where,locate,1
9676,green,mst,predict,where,locate,1
8653,green,mst,predict,where,locate,1
8779,green,mst,predict,where,locate,1
8428,green,mst,predict,where,locate,1
8749,green,mst,predict,where,locate,0
7906,green,mst,predict,where,locate,1
9703,green,mst,predict,where,locate,1
7966,green,mst,predict,where,locate,1
7387,green,mst,predict,where,display,1
7750,green,mst,predict,where,display,1
9814,green,mst,predict,where,display,1
8605,green,mst,predict,where,display,1
9430,green,mst,predict,where,display,1
6487,green,mst,predict,where,display,1
9055,green,mst,predict,where,display,1
8650,green,mst,predict,where,display,0
7543,green,mst,predict,where,display,1
9643,green,mst,predict,where,display,1
8719,green,mst,predict,where,display,1
9871,green,mst,predict,where,display,1
8563,green,mst,predict,where,display,1
6985,green,mst,predict,where,display,1
9655,green,mst,predict,where,display,1
9676,green,mst,predict,where,display,1
8653,green,mst,predict,where,display,1
8779,green,mst,predict,where,display,1
8428,green,mst,predict,where,display,1
8749,green,mst,predict,where,display,1
7906,green,mst,predict,where,display,1
9703,green,mst,predict,where,display,1
7966,green,mst,predict,where,display,1
7387,green,mst,predict,who,ask,1
7750,green,mst,predict,who,ask,1
9814,green,mst,predict,who,ask,1
8605,green,mst,predict,who,ask,1
9430,green,mst,predict,who,ask,1
6487,green,mst,predict,who,ask,1
9055,green,mst,predict,who,ask,1
8650,green,mst,predict,who,ask,1
7543,green,mst,predict,who,ask,1
9643,green,mst,predict,who,ask,1
8719,green,mst,predict,who,ask,1
9871,green,mst,predict,who,ask,1
8563,green,mst,predict,who,ask,1
6985,green,mst,predict,who,ask,1
9655,green,mst,predict,who,ask,1
9676,green,mst,predict,who,ask,1
8653,green,mst,predict,who,ask,1
8779,green,mst,predict,who,ask,1
8428,green,mst,predict,who,ask,1
8749,green,mst,predict,who,ask,1
7906,green,mst,predict,who,ask,1
9703,green,mst,predict,who,ask,1
7966,green,mst,predict,who,ask,1
7387,green,mst,predict,who,contact,1
7750,green,mst,predict,who,contact,1
9814,green,mst,predict,who,contact,1
8605,green,mst,predict,who,contact,1
9430,green,mst,predict,who,contact,1
6487,green,mst,predict,who,contact,1
9055,green,mst,predict,who,contact,1
8650,green,mst,predict,who,contact,1
7543,green,mst,predict,who,contact,1
9643,green,mst,predict,who,contact,0
8719,green,mst,predict,who,contact,1
9871,green,mst,predict,who,contact,1
8563,green,mst,predict,who,contact,1
6985,green,mst,predict,who,contact,1
9655,green,mst,predict,who,contact,1
9676,green,mst,predict,who,contact,1
8653,green,mst,predict,who,contact,1
8779,green,mst,predict,who,contact,1
8428,green,mst,predict,who,contact,1
8749,green,mst,predict,who,contact,1
7906,green,mst,predict,who,contact,1
9703,green,mst,predict,who,contact,1
7966,green,mst,predict,who,contact,1
7387,green,mat,know,where,locate,1
7750,green,mat,know,where,locate,1
9814,green,mat,know,where,locate,1
8605,green,mat,know,where,locate,1
9430,green,mat,know,where,locate,0
6487,green,mat,know,where,locate,1
9055,green,mat,know,where,locate,1
8650,green,mat,know,where,locate,1
7543,green,mat,know,where,locate,1
9643,green,mat,know,where,locate,1
8719,green,mat,know,where,locate,1
9871,green,mat,know,where,locate,1
8563,green,mat,know,where,locate,1
6985,green,mat,know,where,locate,1
9655,green,mat,know,where,locate,1
9676,green,mat,know,where,locate,1
8653,green,mat,know,where,locate,1
8779,green,mat,know,where,locate,0
8428,green,mat,know,where,locate,1
8749,green,mat,know,where,locate,1
7906,green,mat,know,where,locate,1
9703,green,mat,know,where,locate,1
7966,green,mat,know,where,locate,1
7387,green,mat,know,where,display,
7750,green,mat,know,where,display,1
9814,green,mat,know,where,display,1
8605,green,mat,know,where,display,1
9430,green,mat,know,where,display,1
6487,green,mat,know,where,display,1
9055,green,mat,know,where,display,1
8650,green,mat,know,where,display,1
7543,green,mat,know,where,display,1
9643,green,mat,know,where,display,1
8719,green,mat,know,where,display,1
9871,green,mat,know,where,display,1
8563,green,mat,know,where,display,1
6985,green,mat,know,where,display,1
9655,green,mat,know,where,display,1
9676,green,mat,know,where,display,1
8653,green,mat,know,where,display,1
8779,green,mat,know,where,display,1
8428,green,mat,know,where,display,1
8749,green,mat,know,where,display,1
7906,green,mat,know,where,display,1
9703,green,mat,know,where,display,1
7966,green,mat,know,where,display,1
7387,green,mat,know,who,ask,1
7750,green,mat,know,who,ask,1
9814,green,mat,know,who,ask,1
8605,green,mat,know,who,ask,1
9430,green,mat,know,who,ask,1
6487,green,mat,know,who,ask,1
9055,green,mat,know,who,ask,1
8650,green,mat,know,who,ask,1
7543,green,mat,know,who,ask,1
9643,green,mat,know,who,ask,1
8719,green,mat,know,who,ask,1
9871,green,mat,know,who,ask,1
8563,green,mat,know,who,ask,1
6985,green,mat,know,who,ask,1
